COLOCADO	FR	HOR	LEX	AIM	COD	REL
a	24.2	0	0	1	5	GRAMATICAL
de	12.0	1	0	1	5	GRAMATICAL
uma	6.7	0	0	1	5	GRAMATICAL
da	5.7	0	0	1	5	GRAMATICAL
única	3.5	1	1	1	4	FREQUÊNCIA
diária	3.2	1	1	1	4	FREQUÊNCIA
pode	3.7	1	1	1	6	MODAL
esquecida	3.1	1	1	1	1	ADMINISTRAÇÃO
próxima	3.1	0	1	1	4	FREQUÊNCIA
recomendada	3.0	1	1	1	1	ADMINISTRAÇÃO
inicial	2.7	1	1	1	4	FREQUÊNCIA
máxima	2.4	1	1	1	7	QUANTIDADE
em	2.8	0	0	1	5	GRAMATICAL
seguinte	1.3	1	1	1	4	FREQUÊNCIA
à	0.9	0	0	1	5	GRAMATICAL
usual	0.7	1	1	1	4	FREQUÊNCIA
menor	0.6	0	1	1	7	QUANTIDADE
total	0.6	1	1	1	7	QUANTIDADE
na	1.0	0	0	1	5	GRAMATICAL
para	1.4	1	0	1	5	GRAMATICAL
sua	0.7	0	0	1	5	GRAMATICAL
eficaz	0.4	1	1	1	3	EFEITO
mesma	0.4	0	0	1	5	GRAMATICAL
perdida	0.4	1	1	1	1	ADMINISTRAÇÃO
prescrita	0.4	1	1	1	1	ADMINISTRAÇÃO
esta	0.4	0	0	1	5	GRAMATICAL
terapêutica	0.3	1	1	0	3	EFEITO
habitual	0.3	1	1	0	4	FREQUÊNCIA
é	0.9	1	0	0	5	GRAMATICAL
primeira	0.3	0	1	0	4	FREQUÊNCIA
correta	0.3	1	1	0	1	ADMINISTRAÇÃO
essa	0.3	0	0	0	5	GRAMATICAL
adequada	0.3	1	1	0	1	ADMINISTRAÇÃO
administrada	0.3	1	1	0	1	ADMINISTRAÇÃO
extra	0.2	1	1	0	7	QUANTIDADE
última	0.2	0	1	0	4	FREQUÊNCIA
maior	0.3	1	1	0	7	QUANTIDADE
deve	0.7	1	1	0	6	MODAL
excessiva	0.2	1	1	0	7	QUANTIDADE
baixa	0.2	0	1	0	7	QUANTIDADE
conforme	0.2	1	0	0	5	GRAMATICAL
deste	0.3	1	0	0	5	GRAMATICAL
oral	0.3	1	1	0	1	ADMINISTRAÇÃO
duplicada	0.2	1	1	0	7	QUANTIDADE
normal	0.2	1	1	0	1	ADMINISTRAÇÃO
deverá	0.2	1	1	0	6	MODAL
omitida	0.1	1	1	0	1	ADMINISTRAÇÃO
extraível	0.1	1	1	0	1	ADMINISTRAÇÃO
letal	0.1	1	1	0	3	EFEITO
semanal	0.1	1	1	0	4	FREQUÊNCIA
ideal	0.1	1	1	0	1	ADMINISTRAÇÃO
mínima	0.1	1	1	0	7	QUANTIDADE
prevista	0.1	1	1	0	1	ADMINISTRAÇÃO
dupla	0.1	1	1	0	7	QUANTIDADE
contate	0.1	1	1	0	2	CONTATO
capaz	0.1	1	1	0	3	EFEITO
considerar	0.1	0	1	0	1	ADMINISTRAÇÃO
nunca	0.1	1	1	0	4	FREQUÊNCIA
superior	0.1	1	1	0	7	QUANTIDADE
for	0.2	1	0	0	5	GRAMATICAL
ainda	0.1	1	0	0	5	GRAMATICAL
poderá	0.2	1	1	0	6	MODAL
normalmente	0.1	1	1	0	4	FREQUÊNCIA
até	0.2	1	0	0	5	GRAMATICAL
geralmente	0.1	1	1	0	4	FREQUÊNCIA
empregada	0.1	1	1	0	1	ADMINISTRAÇÃO
excepcionalmente	0.1	1	1	0	4	FREQUÊNCIA
unitária	0.1	1	1	0	7	QUANTIDADE
precedente	0.1	1	1	0	4	FREQUÊNCIA
dada	0.1	0	0	0	5	GRAMATICAL
seja	0.1	1	0	0	5	GRAMATICAL
ótima	0.1	1	1	0	1	ADMINISTRAÇÃO
calculada	0.1	1	1	0	1	ADMINISTRAÇÃO
alvo	0.1	1	1	0	1	ADMINISTRAÇÃO
mensal	0.1	1	1	0	4	FREQUÊNCIA
dobrada	0.1	1	1	0	1	ADMINISTRAÇÃO
subsequente	0.1	1	1	0	4	FREQUÊNCIA
noturna	0.1	1	1	0	4	FREQUÊNCIA
meia	0.1	0	1	0	7	QUANTIDADE
atual	0.1	1	1	0	4	FREQUÊNCIA
dependentes	0.1	1	1	0	3	EFEITO
45	0.1	1	1	0	7	QUANTIDADE
absorvida	0.1	1	1	0	1	ADMINISTRAÇÃO
diminuindo	0.1	1	1	0	7	QUANTIDADE
indicação	0.1	0	1	0	1	ADMINISTRAÇÃO
clinicamente	0.1	1	1	0	1	ADMINISTRAÇÃO
intramuscular	0.1	1	1	0	1	ADMINISTRAÇÃO
completa	0.1	1	1	0	7	QUANTIDADE
anterior	0.1	1	1	0	4	FREQUÊNCIA
determinada	0.1	0	1	0	1	ADMINISTRAÇÃO
tóxica	0.1	1	1	0	3	EFEITO
individual	0.1	1	1	0	1	ADMINISTRAÇÃO
média	0.1	1	1	0	7	QUANTIDADE
exclusivamente	0.1	1	1	0	1	ADMINISTRAÇÃO
podem	0.2	1	1	0	6	MODAL
usada	0.1	1	1	0	1	ADMINISTRAÇÃO
muito	0.1	1	1	0	7	QUANTIDADE
utilizada	0.1	1	1	0	1	ADMINISTRAÇÃO
reduzida	0.1	1	1	0	7	QUANTIDADE
imediatamente	0.1	1	1	0	4	FREQUÊNCIA
colaterais	0.1	0	1	0	3	EFEITO
aumentada	0.1	1	1	0	7	QUANTIDADE
intravenosa	0.1	1	1	0	1	ADMINISTRAÇÃO
equivalente	0.1	1	1	0	1	ADMINISTRAÇÃO
outra	0.1	0	0	0	5	GRAMATICAL
acima	0.1	1	1	0	7	QUANTIDADE
devem	0.1	1	1	0	6	MODAL
cada	0.1	0	0	0	5	GRAMATICAL
ligue	0.1	1	1	0	2	CONTATO
assim	0.1	1	0	0	5	GRAMATICAL
foi	0.1	1	0	0	5	GRAMATICAL
do	1.0	1	0	0	5	GRAMATICAL
você	0.3	1	0	0	5	GRAMATICAL
