Substantivo	Consoantes	Vogais	Sílabas	Tônica	Final	Tipo
página	3	3	3	proparoxítona	na	T1
produção	3	5	3	oxítona	ão	T2
final	3	2	2	oxítona	al	T5
diretor	4	3	3	oxítona	or	T4
homem	3	2	2	paroxítona	em	T8
barril	4	2	2	oxítona	il	T6
difícil	4	3	3	paroxítona	il	T7
editoria	3	5	5	paroxítona	ia	T1
governo	4	3	3	paroxítona	no	T1
presidente	6	4	4	paroxítona	te	T1
mercado	4	3	3	paroxítona	do	T1
tempo	3	2	2	paroxítona	po	T1
parte	3	2	2	paroxítona	te	T1
programa	5	3	3	paroxítona	ma	T1
livro	3	2	2	paroxítona	ro	T1
empresa	4	3	3	paroxítona	sa	T1
trabalho	5	3	3	paroxítona	ho	T1
história	4	4	3	paroxítona	ia	T1
mundo	3	2	2	paroxítona	do	T1
grupo	3	2	2	paroxítona	po	T1
semana	3	3	3	paroxítona	na	T1
estado	3	3	3	paroxítona	do	T1
cidade	3	3	3	paroxítona	de	T1
equipe	2	4	3	paroxítona	pe	T1
forma	3	2	2	paroxítona	ma	T1
caso	2	2	2	paroxítona	so	T1
preço	2	3	2	paroxítona	ço	T1
vida	2	2	2	paroxítona	da	T1
jogo	2	2	2	paroxítona	go	T1
casa	2	2	2	paroxítona	sa	T1
plano	3	2	2	paroxítona	no	T1
time	2	2	2	paroxítona	me	T1
campanha	5	3	3	paroxítona	ha	T1
inflação	3	5	3	oxítona	ão	T2
sistema	4	3	3	paroxítona	ma	T1
projeto	4	3	3	paroxítona	to	T1
dinheiro	4	4	3	paroxítona	ro	T1
número	3	3	3	proparoxítona	ro	T1
obra	2	2	2	paroxítona	ra	T1
candidato	5	4	4	paroxítona	to	T1
real	2	2	2	oxítona	al	T5
região	2	4	3	oxítona	ão	T2
processo	5	3	3	paroxítona	so	T1
lugar	3	2	2	oxítona	ar	T4
lado	2	2	2	paroxítona	do	T1
média	2	3	2	paroxítona	ia	T1
período	3	4	3	paroxítona	do	T1
valor	3	2	2	oxítona	or	T4
seleção	2	5	3	oxítona	ão	T2
aumento	3	4	3	paroxítona	to	T1
área	1	3	2	paroxítona	ea	T1
nome	2	2	2	paroxítona	me	T1
pesquisa	4	4	3	paroxítona	sa	T1
música	3	3	3	proparoxítona	ca	T1
autor	2	3	2	oxítona	or	T4
ministro	5	3	3	paroxítona	ro	T1
século	3	3	3	proparoxítona	lo	T1
computador	6	4	4	oxítona	or	T4
técnico	4	3	3	proparoxítona	co	T1
início	2	4	3	paroxítona	io	T1
tipo	2	2	2	paroxítona	po	T1
problema	5	3	3	paroxítona	ma	T1
economia	3	5	5	paroxítona	ia	T1
polícia	3	4	3	paroxítona	ia	T1
filme	3	2	2	paroxítona	me	T1
coisa	2	3	2	paroxítona	sa	T1
linha	3	2	2	paroxítona	ha	T1
momento	4	3	3	paroxítona	to	T1
mulher	4	2	2	oxítona	er	T4
jogador	4	3	3	oxítona	or	T4
texto	3	2	2	paroxítona	to	T1
idéia	1	4	3	paroxítona	ia	T1
ponto	3	2	2	paroxítona	to	T1
morte	3	2	2	paroxítona	te	T1
política	4	4	4	proparoxítona	ca	T1
prazo	3	2	2	paroxítona	zo	T1
poder	3	2	2	oxítona	er	T4
cinema	3	3	3	paroxítona	ma	T1
noite	2	3	2	paroxítona	te	T1
setor	3	2	2	oxítona	or	T4
imagem	3	3	3	paroxítona	em	T8
maioria	2	5	4	paroxítona	ia	T1
janeiro	3	4	3	paroxítona	ro	T1
decisão	3	4	3	oxítona	ão	T2
domingo	4	3	3	paroxítona	go	T1
zona	2	2	2	paroxítona	na	T1
movimento	5	4	4	paroxítona	to	T1
partido	4	3	3	paroxítona	do	T1
época	2	3	3	proparoxítona	ca	T1
situação	2	6	4	oxítona	ão	T2
resultado	5	4	4	paroxítona	do	T1
queda	2	3	2	paroxítona	da	T1
venda	3	2	2	paroxítona	da	T1
acordo	3	3	3	paroxítona	do	T1
versão	3	3	2	oxítona	ão	T2
questão	3	4	2	oxítona	ão	T2
carro	3	2	2	paroxítona	ro	T1
professor	6	3	3	oxítona	or	T4
papel	3	2	2	oxítona	el	T5
reportagem	6	4	4	paroxítona	em	T8
filosofia	4	5	5	paroxítona	ia	T1
fato	2	2	2	paroxítona	to	T1
produto	4	3	3	paroxítona	to	T1
falta	3	2	2	paroxítona	ta	T1
público	4	3	3	proparoxítona	co	T1
edição	1	5	3	oxítona	ão	T2
rede	2	2	2	paroxítona	de	T1
direito	3	4	3	paroxítona	to	T1
pagamento	5	4	4	paroxítona	to	T1
centro	4	2	2	paroxítona	ro	T1
arte	2	2	2	paroxítona	te	T1
ação	0	4	2	oxítona	ão	T2
verdade	4	3	3	paroxítona	de	T1
modelo	3	3	3	paroxítona	lo	T1
base	2	2	2	paroxítona	se	T1
hora	2	2	2	paroxítona	ra	T1
população	3	6	4	oxítona	ão	T2
meio	1	3	2	paroxítona	io	T1
família	3	4	3	paroxítona	ia	T1
campo	3	2	2	paroxítona	po	T1
capital	4	3	3	oxítona	al	T5
sociedade	4	5	5	paroxítona	de	T1
qualidade	4	5	4	paroxítona	de	T1
compra	4	2	2	paroxítona	ra	T1
dólar	3	2	2	paroxítona	ar	T4
sentido	4	3	3	paroxítona	do	T1
moeda	2	3	3	paroxítona	da	T1
apoio	1	4	3	paroxítona	io	T1
série	2	3	2	paroxítona	ie	T1
guerra	3	3	2	paroxítona	ra	T1
defesa	3	3	3	paroxítona	sa	T1
vitória	3	4	3	paroxítona	ia	T1
cultura	4	3	3	paroxítona	ra	T1
local	3	2	2	oxítona	al	T5
alta	2	2	2	paroxítona	ta	T1
artigo	3	3	3	paroxítona	go	T1
título	3	3	3	proparoxítona	lo	T1
revista	4	3	3	paroxítona	ta	T1
entrevista	6	4	4	paroxítona	ta	T1
segurança	4	5	4	paroxítona	ça	T1
crescimento	7	4	4	paroxítona	to	T1
fase	2	2	2	paroxítona	se	T1
deputado	4	4	4	paroxítona	do	T1
banco	3	2	2	paroxítona	co	T1
corpo	3	2	2	paroxítona	po	T1
espaço	2	4	3	paroxítona	ço	T1
