SENT	ITENS	FORMAS	RFI	MPAL	MPUN	VER	NOM	ADJ	DLEX	GÊNERO
105	2544	794	31.21	21	3	264	788	192	60.56	bula
74	1942	627	32.29	22	5	157	612	136	62.02	bula
55	952	357	37.5	15	3	106	267	42	55.67	bula
87	1742	628	36.05	17	3	166	566	117	60.98	bula
11	299	166	55.52	24	3	27	102	11	55.14	bula
109	2683	866	32.28	20	4	236	856	133	60.62	bula
76	1640	553	33.72	17	4	136	584	71	62.08	bula
82	1845	581	31.49	19	3	176	565	130	56.45	bula
90	1799	601	33.41	17	3	174	553	101	57.49	bula
100	2527	698	27.62	21	4	269	753	148	59.34	bula
56	861	355	41.23	13	2	91	266	46	58.88	bula
61	2272	745	32.79	30	8	164	771	139	66.58	bula
126	2644	686	25.95	18	3	278	820	196	60.45	bula
19	484	249	51.45	23	2	60	149	19	57.0	bula
131	2177	647	29.72	14	2	247	662	101	57.84	bula
91	2565	804	31.35	23	5	191	865	165	64.27	bula
72	1294	468	36.17	15	3	123	431	59	61.61	bula
319	5072	1272	25.08	13	3	783	1021	149	57.41	conto
368	6078	1535	25.26	14	3	894	1402	260	56.84	conto
376	6013	1384	23.02	14	2	892	1367	206	56.76	conto
73	1088	424	38.97	12	3	183	241	25	60.24	conto
376	5593	1295	23.15	13	2	893	1228	158	56.94	conto
258	4632	1179	25.45	15	3	750	867	121	55.54	conto
80	1608	572	35.57	16	4	233	327	49	55.19	conto
3	52	43	82.69	15	2	6	19	1	62.79	horóscopo
3	49	41	83.67	14	2	5	18	2	61.9	horóscopo
4	60	47	78.33	12	3	6	18	7	66.67	horóscopo
2	32	29	90.62	15	1	5	9	4	58.62	horóscopo
3	44	36	81.82	12	2	3	16	1	58.82	horóscopo
4	54	40	74.07	11	3	10	16	1	71.43	horóscopo
4	43	35	81.4	10	1	6	14	1	58.82	horóscopo
1	144	55	38.19	142	2	21	23	12	47.86	música
1	156	83	53.21	147	9	40	30	3	55.56	música
2	271	145	53.51	134	2	62	44	8	46.06	música
1	270	126	46.67	269	1	48	45	5	42.41	música
10	329	97	29.48	32	1	93	50	2	52.9	música
2	1265	497	39.29	614	19	253	334	29	56.28	música
1	83	49	59.04	81	2	37	14	7	70.51	música
1	257	117	45.53	250	7	62	37	2	56.73	música
7	155	79	50.97	19	3	8	62	4	66.67	receita
6	113	62	54.87	17	2	7	47	0	61.62	receita
4	113	57	50.44	24	4	9	47	4	68.42	receita
9	239	108	45.19	23	3	24	78	7	57.49	receita
3	92	53	57.61	29	2	10	38	0	63.86	receita
3	167	90	53.89	50	5	11	72	6	69.8	receita
8	187	98	52.41	20	3	9	78	7	66.25	receita
5	145	80	55.17	26	3	14	51	5	63.78	receita
7	155	74	47.74	19	3	14	59	4	65.15	receita
1	352	146	41.48	325	27	32	126	9	59.37	receita
6	171	103	60.23	26	2	8	74	5	68.42	receita
