SENT	ITENS	FORMAS	RFI	MPAL	MPUN	VER	NOM	ADJ	DLEX	GÊNERO
5	153	89	58.17	30	1	27	33	11	60.14	música
23	457	188	41.14	17	3	33	174	8	63.07	bula
12	370	177	47.84	26	5	34	136	12	67.32	receita
117	2953	896	30.34	20	5	212	1016	152	62.99	bula
6	141	72	51.06	21	3	5	56	4	58.68	receita
109	2320	656	28.28	18	3	284	693	136	58.02	bula
2	30	24	80.0	12	2	5	7	3	70.83	horóscopo
2	174	55	31.61	82	5	47	5	4	62.73	música
1	275	96	34.91	263	12	59	59	6	56.81	música
6	146	71	48.63	22	3	10	59	3	63.2	receita
9	146	78	53.42	15	1	18	54	3	62.6	receita
53	976	354	36.27	15	3	104	315	51	61.86	bula
15	394	219	55.58	23	3	42	128	25	63.66	bula
5	101	58	57.43	18	2	5	36	3	64.77	receita
6	185	94	50.81	27	4	18	65	8	63.52	receita
518	7461	1749	23.44	12	2	1244	1769	202	58.21	conto
822	10659	2219	20.82	11	2	1615	2217	367	55.2	conto
95	2055	659	32.07	18	3	210	644	137	60.61	bula
1	669	277	41.41	613	56	92	207	32	62.18	receita
95	1765	575	32.58	16	2	180	597	105	62.34	bula
5	145	77	53.1	26	3	8	61	4	61.54	receita
33	797	359	45.04	21	3	53	307	59	68.12	bula
1	395	151	38.23	391	4	86	52	14	46.76	música
1	147	51	34.69	146	1	40	35	3	64.38	música
76	1294	498	38.49	15	2	115	452	81	63.54	bula
1	151	56	37.09	151	0	21	42	3	58.16	música
63	1623	525	32.35	23	3	145	568	121	62.51	bula
557	7328	1705	23.27	11	2	1062	1734	265	58.71	conto
4	83	55	66.27	20	1	9	37	2	66.67	receita
3	41	34	82.93	12	1	7	11	3	66.67	horóscopo
147	2924	879	30.06	17	3	224	912	216	59.78	bula
330	5512	1395	25.31	14	3	867	1100	181	56.6	conto
2	269	120	44.61	132	3	64	61	12	58.89	música
101	3046	981	32.21	24	7	242	1047	164	66.86	bula
14	281	154	54.8	16	4	13	126	16	76.28	bula
3	214	87	40.65	70	2	53	44	5	56.16	música
105	2429	730	30.05	19	4	203	798	159	61.1	bula
133	1962	662	33.74	12	3	279	437	67	60.92	conto
49	769	298	38.75	14	2	91	235	40	59.49	bula
3	53	46	86.79	16	2	8	14	4	56.52	horóscopo
1	92	51	55.43	89	3	6	45	2	63.64	receita
351	6503	1769	27.2	16	3	765	1580	269	55.58	conto
194	4365	1115	25.54	19	3	416	1319	314	59.49	bula
3	62	52	83.87	18	2	7	13	3	56.6	horóscopo
51	765	357	46.67	13	2	111	192	42	55.91	horóscopo
22	227	69	30.4	9	1	42	61	5	59.69	música
5	490	237	48.37	91	7	95	126	10	57.27	música
114	2188	677	30.94	16	3	198	694	125	58.3	bula
1	354	168	47.46	333	21	84	74	4	56.13	música
85	2164	759	35.07	21	5	168	739	111	63.18	bula
308	2157	622	28.84	5	2	281	536	53	63.85	conto
3	56	45	80.36	17	2	5	17	4	54.17	horóscopo
1	188	61	32.45	188	0	37	62	2	55.56	música
3	54	46	85.19	15	3	5	17	5	63.64	horóscopo
38	746	267	35.79	16	4	83	246	35	62.52	bula
3	179	108	60.34	59	1	55	24	7	54.71	música
78	1766	648	36.69	19	3	174	540	118	58.87	bula
5	151	89	58.94	27	3	17	60	4	66.67	receita
175	3932	924	23.5	19	3	427	1248	260	61.34	bula
38	235	77	32.77	5	2	19	101	1	75.0	música
30	530	241	45.47	16	2	75	128	48	58.68	horóscopo
215	4643	1138	24.51	18	4	519	1374	251	59.76	bula
118	2093	679	32.44	15	3	348	425	58	56.6	conto
8	240	104	43.33	26	4	15	91	4	63.18	receita
598	8164	1872	22.93	12	2	1166	1928	302	57.37	conto
188	4036	979	24.26	18	3	461	1172	233	59.43	bula
346	4764	1241	26.05	12	2	739	1062	185	57.82	conto
4	59	47	79.66	13	2	7	11	4	50.98	horóscopo
1	207	100	48.31	203	4	59	33	2	59.39	música
130	3448	983	28.51	22	4	278	1140	210	60.87	bula
4	41	34	82.93	9	2	5	11	1	54.55	horóscopo
80	1557	577	37.06	17	3	129	548	92	62.57	bula
167	3659	1156	31.59	18	4	503	797	110	56.43	conto
68	1145	417	36.42	15	2	113	380	61	60.04	bula
4	340	171	50.29	81	4	75	79	5	55.48	música
11	175	88	50.29	14	2	52	15	2	44.97	música
313	6297	1750	27.79	17	3	865	1476	235	55.09	conto
73	1628	585	35.93	19	4	138	520	88	61.99	bula
3	44	39	88.64	13	2	9	9	1	60.0	horóscopo
1	270	132	48.89	255	15	69	44	8	56.28	música
478	9226	2190	23.74	16	3	1159	2123	360	57.29	conto
4	225	129	57.33	54	2	54	41	10	55.92	música
5	60	44	73.33	10	2	9	11	3	44.68	horóscopo
3	287	76	26.48	75	20	75	41	8	64.73	música
3	59	49	83.05	17	2	11	10	4	58.0	horóscopo
5	143	71	49.65	26	3	5	59	2	61.9	receita
4	52	42	80.77	11	2	8	12	2	57.5	horóscopo
4	45	35	77.78	10	2	8	9	3	51.28	horóscopo
128	3073	904	29.42	20	4	272	1002	177	61.56	bula
22	355	176	49.58	14	2	33	107	33	63.1	bula
80	1616	526	32.55	17	3	161	509	100	58.65	bula
91	1428	503	35.22	14	2	277	262	72	56.75	horóscopo
125	2277	681	29.91	16	2	208	734	151	59.4	bula
2	34	30	88.24	15	2	5	12	2	65.52	horóscopo
3	41	37	90.24	12	2	9	11	2	61.76	horóscopo
95	2720	854	31.4	24	5	201	938	172	65.37	bula
3	60	48	80.0	18	2	5	17	3	50.98	horóscopo
604	9731	2086	21.44	14	3	1497	2110	370	56.83	conto
8	176	92	52.27	20	2	12	68	5	63.06	receita
277	3396	973	28.65	10	2	546	735	87	59.11	conto
85	1960	706	36.02	20	3	184	631	147	59.13	bula
3	105	61	58.1	29	6	4	47	3	67.06	receita
5	165	77	46.67	30	3	5	79	1	65.31	receita
106	2344	740	31.57	18	4	200	761	163	61.04	bula
1	188	67	35.64	185	3	53	19	6	40.54	música
2	46	36	78.26	20	4	3	15	6	68.57	horóscopo
