N	WORD	FREQUENCY	%
1	fungo	25	1.7
2	mosquitos	21	1.43
3	malária	7	0.48
4	pesquisadores	7	0.48
5	toxina	7	0.48
6	transgênico	6	0.41
7	insetos	6	0.41
8	cientistas	6	0.41
9	estudo	5	0.34
10	pano	5	0.34
11	outros	5	0.34
12	maryland	5	0.34
13	burkina	5	0.34
14	faso	5	0.34
15	lovett	5	0.34
16	apenas	5	0.34
17	óleo	5	0.34
18	populações	4	0.27
19	teste	4	0.27
20	doença	4	0.27
21	controle	4	0.27
22	espécies	4	0.27
23	área	4	0.27
24	laboratório	4	0.27
25	universidade	4	0.27
26	resultados	4	0.27
27	transgênicos	4	0.27
28	leger	4	0.27
29	hybrid	4	0.27
30	fungos	4	0.27
31	dias	4	0.27
32	método	4	0.27
33	mecanismo	4	0.27
34	ambiente	4	0.27
35	gergelim	4	0.27
36	então	4	0.27
37	áfrica	3	0.2
38	erradicação	3	0.2
39	reprodução	3	0.2
40	descobriram	3	0.2
41	população	3	0.2
42	inseto	3	0.2
43	pesquisa	3	0.2
44	geneticamente	3	0.2
45	equipe	3	0.2
46	transgênica	3	0.2
47	natural	3	0.2
48	modificado	3	0.2
49	controlar	3	0.2
50	capazes	3	0.2
51	mosquito	3	0.2
52	trabalhando	3	0.2
53	três	3	0.2
54	fêmeas	3	0.2
55	câmara	3	0.2
56	adultos	3	0.2
57	dentro	3	0.2
58	ocidental	2	0.14
59	onde	2	0.14
60	simples	2	0.14
61	aplicação	2	0.14
62	reduziu	2	0.14
63	segundo	2	0.14
64	pessoas	2	0.14
65	inseticidas	2	0.14
66	criar	2	0.14
67	modificar	2	0.14
68	artigo	2	0.14
69	forma	2	0.14
70	injetar	2	0.14
71	vila	2	0.14
72	outra	2	0.14
73	testada	2	0.14
74	conta	2	0.14
75	entomologia	2	0.14
76	grande	2	0.14
77	métodos	2	0.14
78	diversas	2	0.14
79	pragas	2	0.14
80	agrícolas	2	0.14
81	linhagem	2	0.14
82	específica	2	0.14
83	produzir	2	0.14
84	explica	2	0.14
85	agência	2	0.14
86	proteção	2	0.14
87	ambiental	2	0.14
88	parede	2	0.14
89	resistentes	2	0.14
90	todas	2	0.14
91	porque	2	0.14
92	utiliza	2	0.14
93	deve	2	0.14
94	defesa	2	0.14
95	detecta	2	0.14
96	código	2	0.14
97	corpo	2	0.14
98	benéficas	2	0.14
99	abelhas	2	0.14
100	conjunto	2	0.14
101	estrutura	2	0.14
102	câmaras	2	0.14
103	cabanas	2	0.14
104	experimentos	2	0.14
105	algodão	2	0.14
106	coberto	2	0.14
107	cada	2	0.14
108	versão	2	0.14
109	puro	2	0.14
110	machos	2	0.14
111	contaram	2	0.14
112	infectadas	2	0.14
113	ovos	2	0.14
114	novas	2	0.14
115	tecnologias	2	0.14
116	locais	2	0.14
117	usados	2	0.14
118	comunidade	2	0.14
119	local	2	0.14
120	agora	2	0.14
121	construir	2	0.14
122	panos	2	0.14
